 Fri, 14 Dec 2018 19:41:23  INFO logger.py <module> [ line:23 ] hehehe
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:46  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:48  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：O4g1
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：O4g1
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:49  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:51  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：L109
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：L109
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:52  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:53  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：0635
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：0635
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:55  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:41:56  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:56  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:56  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.06秒
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：/html/body/div[4]/div/div/div[2]/div/div[3]/div/div/img
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py get_verification_code [ line:232 ] 识别的验证码为：9168
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：9168
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='captchas']
 Fri, 14 Dec 2018 19:41:57  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:41:58  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:41:58  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@class='btn btn_c']
 Fri, 14 Dec 2018 19:41:58  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:41:58  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:42:01  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:01  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='hot']//a[text()='秀百贝商城']
 Fri, 14 Dec 2018 19:42:01  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:01  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.07秒
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py input_text [ line:148 ] =====执行输入操作======
输入的数据为：妲己
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//input[@id='search']
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//i[@class='s-icon i-search']
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.05秒
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//div[@class='goods-pic']
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Fri, 14 Dec 2018 19:42:06  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:07  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:1.09秒
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[text()='18岁']
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//span[@class='num-add']
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.02秒
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//a[@class='join-cart login']
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='nav-cart']//a[contains(text(),'购物车')]
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:08  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//li[@class='Unick']/a
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py click [ line:127 ] =====执行点击事件======
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//label[@class='all-che']
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.03秒
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//p[text()='已选商品']/span
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py get_text [ line:160 ] =====获取元素的文本内容======
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:84 ] 当前元素定位类型：xpath，当前查找的元素表达式为：//h6[@class='cart-tit']//span
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py find_element [ line:86 ] 开始等待元素在当前页面可见。
 Fri, 14 Dec 2018 19:42:09  INFO BasePage.py wait_eleVisible [ line:37 ] 等待结束，等待时间长为:0.04秒
